name,quantity,region,service_id,sku,"total_price, USD",notes
External IP Charge on a Standard VM,200.0,global,6F81-5844-456A,C054-7F72-A02E,726.35,
External IP Charge on a Spot Preemptible VM,400.0,global,6F81-5844-456A,4AF8-7C1F-39C4,730,
Static Ip Charge in Melbourne,20.0,australia-southeast2,6F81-5844-456A,07B6-1DE8-E0B7,204.386,
Network Data Transfer GCP Inter Region within Asia,100.0,,95FF-2EF5-5EA1,A115-9CB2-F553,7.45058,
Standard Storage Melbourne,10000.0,australia-southeast2,95FF-2EF5-5EA1,068D-BEA9-C4E7,214.20419,
,,,,,,
,,,,Total Price:,1882.39077,
,,,,,,
"Prices are in US dollars, effective date is 2024-04-27T22:30:12.596Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiQyMjE3ZmJiYy1mYmRiLTQ4ZWUtYTY3Mi05NjIzZjgyMjM4ZGE=,,,,,,
